data,quantidade_pro,mm,temp_mean
2022-05-26,5261,0,24.275000000000002
2022-05-27,8639,26,19.325
2022-05-28,10029,22,20.504166666666666
2022-05-29,8096,37,14.674999999999999
2022-05-30,3984,0,8.6625
2022-05-31,4379,0,11.420833333333334
2022-06-01,5599,10,16.495833333333334
2022-06-02,5686,0,16.570833333333333
2022-06-03,8508,0,18.075
2022-06-04,10213,0,18.786363636363635
2022-06-05,8269,0,22.508695652173916
2022-06-06,5278,18,24.847826086956523
2022-06-07,5324,1,23.691666666666666
2022-06-08,5644,0,20.220833333333335
2022-06-09,5819,0,17.608333333333334
2022-06-10,8304,5,15.525
2022-06-11,10362,0,11.370833333333332
2022-06-12,8752,0,16.608333333333334
2022-06-13,4088,0,17.075
2022-06-14,4496,0,14.470833333333333
2022-06-15,6875,0,18.279166666666665
2022-06-16,8167,0,20.716666666666665
2022-06-17,7590,27,21.97083333333333
2022-06-18,8558,0,25.337500000000002
2022-06-19,6786,0,24.821739130434782
2022-06-20,3862,0,20.079166666666666
2022-06-21,4606,0,14.0375
2022-06-22,4868,22,14.887500000000001
2022-06-23,5242,16,13.1625
2022-06-24,7666,0,21.462500000000002
2022-06-25,8745,0,22.708333333333332
2022-06-26,6721,0,15.033333333333333
2022-06-27,3572,0,19.533333333333335
2022-06-28,4427,0,19.139130434782608
2022-06-29,4653,1,23.804166666666664
2022-06-30,5295,0,26.55
2022-07-01,8118,0,26.05652173913043
2022-07-02,9303,0,20.579166666666666
2022-07-03,7315,0,15.3375
2022-07-04,3949,0,10.825000000000001
2022-07-05,4920,0,18.650000000000002
2022-07-06,6110,0,20.254166666666666
2022-07-07,6401,0,18.133333333333333
2022-07-08,8550,0,16.195833333333333
2022-07-09,9501,0,19.433333333333334
2022-07-10,7760,0,21.1375
2022-07-11,4127,0,23.641666666666666
2022-07-12,4544,9,27.9375
2022-07-13,4860,0,25.474999999999998
2022-07-14,5610,3,23.59583333333333
2022-07-15,8255,0,16.091666666666665
2022-07-16,9748,9,7.483333333333333
2022-07-17,7159,0,18.316666666666666
2022-07-18,3979,0,8.325000000000001
2022-07-19,4798,12,16.670833333333334
2022-07-20,5422,0,16.2625
2022-07-21,5736,0,19.716666666666665
2022-07-22,7764,0,22.178260869565218
2022-07-23,8527,0,22.347826086956523
2022-07-24,6755,0,28.287499999999998
2022-07-25,3793,0,23.566666666666666
2022-07-26,4660,0,23.583333333333332
2022-07-27,5114,0,17.2625
2022-07-28,5563,0,7.633333333333333
2022-07-29,8080,12,9.270833333333334
2022-07-30,9231,0,10.325000000000001
2022-07-31,7102,0,12.604166666666666
2022-08-01,3976,0,16.633333333333333
2022-08-02,4539,0,17.883333333333333
2022-08-03,5062,0,23.016666666666666
2022-08-04,5995,11,19.90434782608696
2022-08-05,8983,0,26.73913043478261
2022-08-06,10629,17,24.28333333333333
2022-08-07,8335,10,20.479166666666668
2022-08-08,4140,0,18.0125
2022-08-09,4930,2,9.862499999999999
2022-08-10,5146,3,9.3375
2022-08-11,5260,0,15.6625
2022-08-12,7836,0,6.429166666666667
2022-08-13,8564,0,15.1625
2022-08-14,6058,0,20.434782608695652
2022-08-15,3846,0,23.8
2022-08-16,4173,16,20.425
2022-08-17,4817,8,28.516666666666666
2022-08-18,5103,50,25.983333333333334
2022-08-19,7445,0,19.095833333333335
2022-08-20,8932,0,18.95
2022-08-21,6514,0,9.8125
2022-08-22,3560,0,14.270833333333334
2022-08-23,3845,0,18.329166666666666
2022-08-24,5080,0,8.7125
2022-08-25,6085,0,16.629166666666666
2022-08-26,6821,0,17.983333333333334
2022-08-27,7987,0,23.941666666666666
2022-08-28,6690,5,21.17083333333333
2022-08-29,3285,0,28.583333333333332
2022-08-30,3914,0,22.545833333333334
2022-08-31,4807,0,20.508333333333333
2022-09-01,5187,0,18.095833333333335
2022-09-02,8429,27,11.841666666666667
2022-09-03,9120,0,18.2
2022-09-04,6739,0,20.3375
2022-09-05,4044,0,12.283333333333333
2022-09-06,7281,4,16.195833333333333
2022-09-07,8441,0,17.587500000000002
2022-09-08,4682,0,23.022727272727273
2022-09-09,7540,0,22.358333333333334
2022-09-10,8974,0,28.837500000000002
2022-09-11,7113,1,24.569565217391304
2022-09-12,3771,11,22.304166666666664
2022-09-13,4156,0,15.4
2022-09-14,4585,0,12.487499999999999
2022-09-15,5419,0,18.283333333333335
2022-09-16,7440,0,21.116666666666667
2022-09-17,8535,0,14.5
2022-09-18,6606,0,14.720833333333333
2022-09-19,4731,30,18.20952380952381
2022-09-20,5302,0,20.517391304347825
2022-09-21,4274,17,22.729166666666668
2022-09-22,4629,0,29.337500000000002
2022-09-23,6922,0,25.208333333333332
2022-09-24,8503,0,19.404166666666665
2022-09-25,6955,9,16.291666666666668
2022-09-26,3402,0,15.454166666666666
2022-09-27,3825,0,18.287499999999998
2022-09-28,4457,0,21.508333333333336
2022-09-29,5024,0,16.554166666666667
2022-09-30,7716,8,10.083333333333334
2022-10-01,8328,9,20.004166666666666
2022-10-02,6591,0,21.057142857142857
2022-10-03,3643,0,23.043478260869566
2022-10-04,4116,0,26.543478260869566
2022-10-05,5065,0,26.491666666666664
2022-10-06,6138,46,19.016666666666666
2022-10-07,8097,7,18.212500000000002
2022-10-08,8773,0,17.837500000000002
2022-10-09,7293,1,19.3
2022-10-10,4242,37,21.2375
2022-10-11,6521,58,17.870833333333334
2022-10-12,7732,0,12.549999999999999
2022-10-13,4491,0,20.566666666666666
2022-10-14,6810,21,22.569565217391304
2022-10-15,8371,0,23.933333333333334
