data,Local_Actual,Local
2023-01-01,30,132.4056919202996
2023-01-02,89,103.1428888344268
2023-01-03,57,77.45698390136454
2023-01-04,99,107.07074307323217
2023-01-05,119,117.4783620392949
2023-01-06,157,130.51849063335618
2023-01-07,171,141.20386156778994
2023-01-08,83,146.45955805127318
2023-01-09,92,63.043172907550655
2023-01-10,68,66.6929995802426
2023-01-11,105,102.63594695227331
2023-01-12,107,116.7725272478084
2023-01-13,151,148.07637437511846
2023-01-14,125,141.21755901332654
2023-01-15,74,150.3254579534252
2023-01-16,71,61.66340958221082
2023-01-17,57,69.1258546343256
2023-01-18,54,91.0567371991608
2023-01-19,111,127.42562243053726
2023-01-20,134,126.33205409123377
2023-01-21,154,130.1066040046266
2023-01-22,75,161.2570003723842
2023-01-23,59,65.07227391307583
2023-01-24,90,87.2786062314363
2023-01-25,66,94.92235990111487
2023-01-26,96,108.23161431045475
2023-01-27,109,120.76808015523511
2023-01-28,140,128.27299962703387
2023-01-29,51,150.6101743876696
2023-01-30,72,65.37148675980836
2023-01-31,76,83.42639712947528
2023-02-01,64,104.0386230838713
2023-02-02,98,117.232137665849
2023-02-03,95,113.89803216741416
2023-02-04,143,163.0152533002967
2023-02-05,58,149.43236587139887
2023-02-06,69,72.22826270088737
2023-02-07,47,90.98768148769037
2023-02-08,70,105.56699883128533
2023-02-09,104,120.41354522959386
2023-02-10,137,133.22337736907195
2023-02-11,111,140.74231486829956
2023-02-12,42,139.7714432066672
2023-02-13,48,68.62716215091109
2023-02-14,44,65.7436135570166
2023-02-15,62,110.8034813739855
2023-02-16,75,125.25544959570948
2023-02-17,105,120.02747070788598
2023-02-18,127,131.42312390149357
2023-02-19,59,155.14880652570866
2023-02-20,69,97.63758219980286
2023-02-21,45,112.7238624900304
2023-02-22,55,107.7111043886373
2023-02-23,60,125.988097848231
2023-02-24,110,152.42877874639277
2023-02-25,137,143.0814890153199
2023-02-26,62,147.91973150348235
2023-02-27,36,70.22823148151815
2023-02-28,52,91.1287307630086
2023-03-01,84,112.32146742561315
2023-03-02,76,134.33963452321962
2023-03-03,99,135.03621370048847
2023-03-04,157,156.91232423455494
2023-03-05,83,149.23347417064366
2023-03-06,61,80.15923308039737
2023-03-07,76,96.1398374619427
2023-03-08,87,78.66334177786803
2023-03-09,64,135.51060827696733
2023-03-10,120,136.18837300911417
2023-03-11,120,142.4502650928565
2023-03-12,59,148.90634581855022
2023-03-13,55,74.8739130220296
2023-03-14,51,98.53954867762499
2023-03-15,60,114.30147772117806
2023-03-16,93,124.09541390445565
2023-03-17,101,133.14209968153222
2023-03-18,167,141.04048627386976
2023-03-19,56,147.33766527363406
2023-03-20,44,77.65409800505114
2023-03-21,59,93.0551295355458
2023-03-22,75,110.27338954173149
2023-03-23,68,124.88808272565791
2023-03-24,111,133.31678127554005
2023-03-25,94,153.40161535956395
2023-03-26,50,160.2633549138098
2023-03-27,51,75.07903287202146
2023-03-28,47,96.26145110300786
2023-03-29,49,112.72522667969417
2023-03-30,59,125.45349422616329
2023-03-31,107,138.12802309525807
2023-04-01,135,146.73370718932347
2023-04-02,47,148.33586995726267
2023-04-03,71,81.29471196659901
2023-04-04,35,101.59049398918768
2023-04-05,49,88.96128787266764
2023-04-06,64,114.56820976582105
2023-04-07,42,169.67651976975634
2023-04-08,71,145.42273086918624
2023-04-09,56,150.96531509680892
2023-04-10,62,80.95313593392311
2023-04-11,38,100.85919860070581
2023-04-12,62,117.17810125977076
2023-04-13,57,131.3613660630407
2023-04-14,111,139.87570729986027
2023-04-15,147,146.10052220155666
2023-04-16,28,137.70740966952746
2023-04-17,48,71.43366084999968
2023-04-18,37,98.06784440882197
2023-04-19,43,108.13801241203635
2023-04-20,74,142.14552834484175
2023-04-21,77,159.29802048545162
2023-04-22,111,140.90730222417022
2023-04-23,53,145.82377672294479
2023-04-24,44,78.65959298256249
2023-04-25,53,105.31699012235651
2023-04-26,45,112.02193245001592
2023-04-27,58,123.98459019749612
2023-04-28,78,134.14196246243557
2023-04-29,123,144.77648595235888
2023-04-30,48,157.15725475482589
2023-05-01,51,100.98775021190346
2023-05-02,35,101.33648013927044
